rank,layer,neuron,weight,abs_weight
1,19,7024,-2.501250625312652,2.501250625312652
2,5,2635,-2.501250625312652,2.501250625312652
3,5,2631,-2.501250625312652,2.501250625312652
4,5,2630,2.501250625312652,2.501250625312652
5,5,2626,-2.501250625312652,2.501250625312652
6,5,2625,2.501250625312652,2.501250625312652
7,19,7032,-2.501250625312652,2.501250625312652
8,19,7031,2.501250625312652,2.501250625312652
9,19,7030,-2.501250625312652,2.501250625312652
10,5,2642,-2.501250625312652,2.501250625312652
11,19,7022,2.501250625312652,2.501250625312652
12,19,7019,2.501250625312652,2.501250625312652
13,19,7012,-2.501250625312652,2.501250625312652
14,19,7010,2.501250625312652,2.501250625312652
15,19,7071,2.501250625312652,2.501250625312652
16,19,7069,-2.501250625312652,2.501250625312652
17,19,7066,-2.501250625312652,2.501250625312652
18,19,7063,-2.501250625312652,2.501250625312652
19,19,6996,2.501250625312652,2.501250625312652
20,5,2660,-2.501250625312652,2.501250625312652
21,5,2659,2.501250625312652,2.501250625312652
22,5,2656,2.501250625312652,2.501250625312652
23,19,7006,2.501250625312652,2.501250625312652
24,19,7004,-2.501250625312652,2.501250625312652
25,19,7003,-2.501250625312652,2.501250625312652
26,19,7002,-2.501250625312652,2.501250625312652
27,19,6997,2.501250625312652,2.501250625312652
28,19,7060,2.501250625312652,2.501250625312652
29,19,6983,2.501250625312652,2.501250625312652
30,19,6981,-2.501250625312652,2.501250625312652
31,19,6980,2.501250625312652,2.501250625312652
32,19,6978,-2.501250625312652,2.501250625312652
33,5,2652,2.501250625312652,2.501250625312652
34,5,2647,-2.501250625312652,2.501250625312652
35,5,2646,-2.501250625312652,2.501250625312652
36,5,2645,-2.501250625312652,2.501250625312652
37,9,2444,2.501250625312652,2.501250625312652
38,15,2466,-2.501250625312652,2.501250625312652
39,9,2463,-2.501250625312652,2.501250625312652
40,9,2457,-2.501250625312652,2.501250625312652
41,9,2452,-2.501250625312652,2.501250625312652
42,9,2451,-2.501250625312652,2.501250625312652
43,9,2448,2.501250625312652,2.501250625312652
44,9,2446,2.501250625312652,2.501250625312652
45,9,2445,-2.501250625312652,2.501250625312652
46,15,2469,-2.501250625312652,2.501250625312652
47,9,2443,-2.501250625312652,2.501250625312652
48,19,7042,2.501250625312652,2.501250625312652
49,19,7040,2.501250625312652,2.501250625312652
50,5,2620,-2.501250625312652,2.501250625312652
51,5,2615,2.501250625312652,2.501250625312652
52,5,2610,2.501250625312652,2.501250625312652
53,5,2602,-2.501250625312652,2.501250625312652
54,5,2599,2.501250625312652,2.501250625312652
55,9,2468,-2.501250625312652,2.501250625312652
56,19,7057,-2.501250625312652,2.501250625312652
57,19,7054,-2.501250625312652,2.501250625312652
58,19,7051,2.501250625312652,2.501250625312652
59,19,7048,-2.501250625312652,2.501250625312652
60,9,2476,-2.501250625312652,2.501250625312652
61,9,2475,2.501250625312652,2.501250625312652
